version,split,non_venomous,venomous,nonvenomous_to_venomous_ratio,venomous_share
V1,train,598,889,0.672665916760405,0.5978480161398789
V2,train,663,932,0.7113733905579399,0.5843260188087774
V1,validation,104,158,0.6582278481012658,0.6030534351145038
V2,validation,121,168,0.7202380952380952,0.5813148788927336
