stage,stage_epoch,duration_seconds,learning_rate,accuracy,loss,val_accuracy,val_loss
stage_1,1,107.63978500000667,0.0010000000474974513,0.7920921444892883,0.45264121890068054,0.8898601531982422,0.24677182734012604
stage_1,2,112.9196082999697,0.0010000000474974513,0.8832154870033264,0.23027119040489197,0.9038461446762085,0.21815411746501923
stage_1,3,117.38319069996942,0.0010000000474974513,0.9010211825370789,0.17970041930675507,0.9248251914978027,0.19443565607070923
stage_1,4,117.19371629995294,0.0010000000474974513,0.910971462726593,0.1619083434343338,0.9178321957588196,0.18766765296459198
stage_1,5,115.429387900047,0.0010000000474974513,0.9232783317565918,0.1445831060409546,0.9230769276618958,0.1711178570985794
stage_1,6,115.82944590004627,0.0010000000474974513,0.9324430227279663,0.12698224186897278,0.9230769276618958,0.17195020616054535
stage_1,7,116.96064880001359,0.0010000000474974513,0.9426551461219788,0.11848399043083191,0.9143356680870056,0.1778535544872284
stage_1,8,116.54170830000658,0.0010000000474974513,0.9442262649536133,0.1025976613163948,0.9265734553337097,0.16488607227802277
stage_1,9,115.67408569995314,0.0010000000474974513,0.9502487778663635,0.09216532111167908,0.9178321957588196,0.18107523024082184
stage_1,10,115.3031375000719,0.0010000000474974513,0.9520816802978516,0.09461408108472824,0.9195803999900818,0.1576072871685028
stage_1,11,115.1432252000086,0.0010000000474974513,0.9586279392242432,0.08115849643945694,0.9265734553337097,0.17487862706184387
stage_1,12,116.4928267999785,0.0010000000474974513,0.9581041932106018,0.08378633111715317,0.9300699234008789,0.16772370040416718
stage_1,13,117.19387750001624,0.0010000000474974513,0.9643886089324951,0.0729990005493164,0.940559446811676,0.16687870025634766
stage_1,14,117.09311909996904,0.0005000000237487257,0.96517413854599,0.07260680943727493,0.9335664510726929,0.14288170635700226
stage_1,15,115.52209059998859,0.0005000000237487257,0.9732914566993713,0.05648413673043251,0.9230769276618958,0.165940061211586
stage_1,16,116.22196930006612,0.0005000000237487257,0.9746006727218628,0.05513078719377518,0.9213286638259888,0.176926851272583
stage_1,17,115.12946670001838,0.0005000000237487257,0.9746006727218628,0.049585066735744476,0.9370629191398621,0.14754264056682587
stage_1,18,118.36928440001793,0.0002500000118743628,0.9837653636932373,0.0388752818107605,0.9370629191398621,0.15089905261993408
stage_1,19,114.98653530003503,0.0002500000118743628,0.9850746393203735,0.033110570162534714,0.9283216595649719,0.15084128081798553
stage_1,20,115.39323459996376,0.0002500000118743628,0.9829798340797424,0.03385348245501518,0.9265734553337097,0.15070292353630066
fine_tuning,1,159.6502421000041,9.999999747378752e-06,0.9664833545684814,0.061940621584653854,0.9318181872367859,0.15125149488449097
fine_tuning,2,138.98273159994278,9.999999747378752e-06,0.9725058674812317,0.04923747852444649,0.9300699234008789,0.15185977518558502
fine_tuning,3,136.3775926999515,9.999999747378752e-06,0.9719821810722351,0.05456694960594177,0.9318181872367859,0.15618029236793518
fine_tuning,4,136.2646756999893,9.999999747378752e-06,0.9800994992256165,0.041747815907001495,0.9318181872367859,0.15132591128349304
fine_tuning,5,136.078743900056,4.999999873689376e-06,0.9782665371894836,0.045984722673892975,0.9318181872367859,0.15120013058185577
fine_tuning,6,135.510967399925,4.999999873689376e-06,0.9814087748527527,0.03956497833132744,0.9300699234008789,0.1492035835981369
fine_tuning,7,137.7913134000264,4.999999873689376e-06,0.9785284399986267,0.0403364934027195,0.9335664510726929,0.14893853664398193
fine_tuning,8,707.6084580000024,4.999999873689376e-06,0.9800994992256165,0.04435186833143234,0.9318181872367859,0.15009871125221252
fine_tuning,9,125.30012309993617,4.999999873689376e-06,0.9811468720436096,0.03679988905787468,0.9335664510726929,0.14789222180843353
fine_tuning,10,114.29886640002951,4.999999873689376e-06,0.9840272068977356,0.035796426236629486,0.9318181872367859,0.15034441649913788
fine_tuning,11,115.20956530002877,4.999999873689376e-06,0.9848127961158752,0.03457709401845932,0.9318181872367859,0.1481592208147049
fine_tuning,12,116.70848119992297,4.999999873689376e-06,0.9855983257293701,0.03323863074183464,0.9300699234008789,0.15034912526607513
fine_tuning,13,114.0965920999879,2.499999936844688e-06,0.9848127961158752,0.034589894115924835,0.9318181872367859,0.14997106790542603
fine_tuning,14,114.25053540000226,2.499999936844688e-06,0.9884786605834961,0.029019225388765335,0.9335664510726929,0.14883914589881897
fine_tuning,15,113.56995020003524,2.499999936844688e-06,0.9832416772842407,0.03251993656158447,0.9318181872367859,0.14967671036720276
