class,v1_precision,v2_precision,difference_precision,v1_recall,v2_recall,difference_recall,v1_f1,v2_f1,difference_f1,v1_support,v2_support,difference_support,status
Cow,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,39,39,0,UNCHANGED
Deer,0.9722222222222222,0.958904109589041,-0.013318112633181167,0.9722222222222222,0.9722222222222222,0.0,0.9722222222222222,0.9655172413793104,-0.006704980842911823,72,72,0,DEGRADED
Elephant,0.9753086419753086,0.9753086419753086,0.0,1.0,1.0,0.0,0.9875,0.9875,0.0,79,79,0,UNCHANGED
Monkey,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,28,28,0,UNCHANGED
Non_Venomous_Snake,0.936,0.956140350877193,0.020140350877192903,0.9140625,0.8515625,-0.0625,0.924901185770751,0.9008264462809917,-0.024074739489759245,128,128,0,DEGRADED
Venomous_Snake,0.916083916083916,0.869281045751634,-0.04680287033228203,0.9290780141843972,0.9432624113475178,0.014184397163120588,0.9225352112676056,0.9047619047619048,-0.01777330650570086,141,141,0,DEGRADED
Wild_Boar,0.9824561403508771,0.9824561403508771,0.0,0.9655172413793104,0.9655172413793104,0.0,0.9739130434782609,0.9739130434782609,0.0,58,58,0,UNCHANGED
