review_id,new_image,suspected_match,review_type,frozen_test_involved,sha256_match,phash_distance,dhash_distance,ahash_distance,ssim_score,pixel_similarity_score,dimension_similarity,edge_similarity,color_histogram_correlation,orb_ratio_matches,orb_ransac_inliers,orb_inlier_ratio,other_evidence,final_auto_decision,decision_confidence,decision_reason
REVIEW_0118,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Common Krait\common-krait-snake.png,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Venomous_Snake\common-krait-snake.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.958526,0.987996,0.390625,0.983216,0.997199,4,4,1.0,aspect_similarity=0.468750; area_similarity=0.325521; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AMBIGUOUS_REVIEW_REQUIRED,MEDIUM,Signals do not meet conservative HIGH-confidence same-image or clearly-different rules
REVIEW_0226,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\0804.jpeg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Venomous_Snake\0804.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.916592,0.984242,0.390625,0.946145,0.997746,12,10,0.833333,aspect_similarity=0.524414; area_similarity=0.290968; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AMBIGUOUS_REVIEW_REQUIRED,MEDIUM,Signals do not meet conservative HIGH-confidence same-image or clearly-different rules
REVIEW_0298,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Spectacled Cobra\Naja-naja-1-Spectacled-cobra.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Venomous_Snake\Naja-naja-1-Spectacled-cobra.jpg,DUPLICATE_REVIEW,NO,False,0,0,26,0.065374,0.063889,0.134907,0.901358,0.998444,4,4,1.0,aspect_similarity=0.626644; area_similarity=0.029044; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AMBIGUOUS_REVIEW_REQUIRED,MEDIUM,Signals do not meet conservative HIGH-confidence same-image or clearly-different rules
