Model,Status,Algorithm,Parameters,Model_Size_MiB,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,MSE,Mean_Confidence,Median_Confidence,Venomous_Snake_Recall,Non_Venomous_Snake_Recall,Snake_Macro_Recall,Inference_Time_ms,FPS
Custom CNN,COMPLETED,Convolutional Neural Network trained from scratch,367079,4.3090829849,0.504587156,0.5632287401,0.5430710997,0.5072730358,0.5144100218,0.0880872848,0.5472626525,0.5102541447,0.5460992908,0.4375,0.4917996454,44.1821149978,22.6335928022
MobileNetV2,COMPLETED,"Lightweight CNN using depthwise separable convolution, inverted residuals, transfer learning and fine-tuning",2587719,25.6768894196,0.9247706422,0.9509036492,0.9535246822,0.9520287396,0.9245384117,0.01607385,0.9497441128,0.9995753169,0.8368794326,0.8828125,0.8598459663,196.1739799991,5.0975159907
MobileNetV3 Large,COMPLETED,"Optimized lightweight CNN using depthwise convolution, inverted residual blocks, squeeze-and-excitation, hard-swish, transfer learning and fine-tuning",3244167,30.9168558121,0.9541284404,0.9688672744,0.9686971397,0.9687245232,0.9540628864,0.0109593207,0.9682320383,0.9999572039,0.9290780142,0.9140625,0.9215702571,206.2496349984,4.8484934289
EfficientNetB0,INCOMPLETE,"Efficient CNN using MBConv, depthwise separable convolution, squeeze-and-excitation and compound scaling (Status: incomplete experiment)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
