first_image,second_image,first_parent,second_parent,first_species,second_species,near_duplicate_status,strict_classification,phash_distance,dhash_distance,ahash_distance,ssim,pixel_correlation,orb_ransac_inliers,evidence
Venomous/Monocled Cobra/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,Venomous/Spectacled Cobra/tumblr_o07hjtgxd71r6bovho1_500.jpg,Venomous,Venomous,Monocled Cobra,Spectacled Cobra,HIGH_CONFIDENCE_NEAR_DUPLICATE,CONFIRMED_NEAR_DUPLICATE,0,0,0,0.997617,0.99952,215,pHash=0; dHash=0; aHash=0; aspect_delta=0.0019; pixel_corr=0.9995; SSIM=0.9976; hist_corr=0.9989; ORB_good=243; ORB_inliers=215; ORB_inlier_ratio=0.8848
Venomous/Russell's Viper/Russel Viper 04.jpg,Venomous/Saw-scaled Viper/Saw-Scaled-Viper_008.jpg,Venomous,Venomous,Russell's Viper,Saw-scaled Viper,HIGH_CONFIDENCE_NEAR_DUPLICATE,CONFIRMED_NEAR_DUPLICATE,0,0,0,1.0,1.0,800,pHash=0; dHash=0; aHash=0; aspect_delta=0.0000; pixel_corr=1.0000; SSIM=1.0000; hist_corr=1.0000; ORB_good=800; ORB_inliers=800; ORB_inlier_ratio=1.0000
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Non-Venomous,Non-Venomous,Banded Racer,Banded Racer,HIGH_CONFIDENCE_NEAR_DUPLICATE,CONFIRMED_NEAR_DUPLICATE,0,1,0,0.987199,0.997368,4,pHash=0; dHash=1; aHash=0; aspect_delta=0.0007; pixel_corr=0.9974; SSIM=0.9872; hist_corr=0.9992; ORB_good=6; ORB_inliers=4; ORB_inlier_ratio=0.6667
Venomous/Common Krait/02tvCommon_Krait__S_824501g.jpg,Venomous/Common Krait/7_jpegadad01e83bb98b57c221716c10d9414b.jpeg,Venomous,Venomous,Common Krait,Common Krait,POSSIBLE_NEAR_DUPLICATE,POSSIBLE_NEAR_DUPLICATE,0,1,1,0.83002,0.964521,7,pHash=0; dHash=1; aHash=1; aspect_delta=0.4667; pixel_corr=0.9645; SSIM=0.8300; hist_corr=0.9982; ORB_good=10; ORB_inliers=7; ORB_inlier_ratio=0.7000
Venomous/Common Krait/common krait.png,Venomous/Common Krait/KRAIT2_H.JPG,Venomous,Venomous,Common Krait,Common Krait,HIGH_CONFIDENCE_NEAR_DUPLICATE,CONFIRMED_NEAR_DUPLICATE,0,1,0,0.981691,0.99523,97,pHash=0; dHash=1; aHash=0; aspect_delta=0.3084; pixel_corr=0.9952; SSIM=0.9817; hist_corr=0.9990; ORB_good=100; ORB_inliers=97; ORB_inlier_ratio=0.9700
