representation,size_bytes,test_accuracy,macro_f1,venomous_snake_recall,snake_macro_recall,average_inference_time_ms,median_inference_time_ms,approximate_fps
Keras,32418673,0.9541284403669725,0.9687245232484056,0.9290780141843972,0.9215702570921986,206.24963499838486,177.78319999342784,4.848493428886946
Float32 TFLite,12920548,0.9541284403669725,0.9687245232484056,0.9290780141843972,0.9215702570921986,6.73643699643435,6.665699984296225,148.446426579705
