actual\predicted,Cow,Deer,Elephant,Monkey,Non_Venomous_Snake,Venomous_Snake,Wild_Boar
Cow,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Deer,0.0,0.9722222222222222,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888
Elephant,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monkey,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Non_Venomous_Snake,0.0,0.0,0.0,0.0,0.8515625,0.1484375,0.0
Venomous_Snake,0.0,0.02127659574468085,0.0,0.0,0.03546099290780142,0.9432624113475178,0.0
Wild_Boar,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.9655172413793104
