epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9664833545684814,9.999999747378752e-06,0.061940621584653854,0.9318181872367859,0.15125149488449097
1,0.9725058674812317,9.999999747378752e-06,0.04923747852444649,0.9300699234008789,0.15185977518558502
2,0.9719821810722351,9.999999747378752e-06,0.05456694960594177,0.9318181872367859,0.15618029236793518
3,0.9800994992256165,9.999999747378752e-06,0.041747815907001495,0.9318181872367859,0.15132591128349304
4,0.9782665371894836,4.999999873689376e-06,0.045984722673892975,0.9318181872367859,0.15120013058185577
5,0.9814087748527527,4.999999873689376e-06,0.03956497833132744,0.9300699234008789,0.1492035835981369
6,0.9785284399986267,4.999999873689376e-06,0.0403364934027195,0.9335664510726929,0.14893853664398193
7,0.9800994992256165,4.999999873689376e-06,0.04435186833143234,0.9318181872367859,0.15009871125221252
8,0.9811468720436096,4.999999873689376e-06,0.03679988905787468,0.9335664510726929,0.14789222180843353
9,0.9840272068977356,4.999999873689376e-06,0.035796426236629486,0.9318181872367859,0.15034441649913788
10,0.9848127961158752,4.999999873689376e-06,0.03457709401845932,0.9318181872367859,0.1481592208147049
11,0.9855983257293701,4.999999873689376e-06,0.03323863074183464,0.9300699234008789,0.15034912526607513
12,0.9848127961158752,2.499999936844688e-06,0.034589894115924835,0.9318181872367859,0.14997106790542603
13,0.9884786605834961,2.499999936844688e-06,0.029019225388765335,0.9335664510726929,0.14883914589881897
14,0.9832416772842407,2.499999936844688e-06,0.03251993656158447,0.9318181872367859,0.14967671036720276
