epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7920921444892883,0.0010000000474974513,0.45264121890068054,0.8898601531982422,0.24677182734012604
1,0.8832154870033264,0.0010000000474974513,0.23027119040489197,0.9038461446762085,0.21815411746501923
2,0.9010211825370789,0.0010000000474974513,0.17970041930675507,0.9248251914978027,0.19443565607070923
3,0.910971462726593,0.0010000000474974513,0.1619083434343338,0.9178321957588196,0.18766765296459198
4,0.9232783317565918,0.0010000000474974513,0.1445831060409546,0.9230769276618958,0.1711178570985794
5,0.9324430227279663,0.0010000000474974513,0.12698224186897278,0.9230769276618958,0.17195020616054535
6,0.9426551461219788,0.0010000000474974513,0.11848399043083191,0.9143356680870056,0.1778535544872284
7,0.9442262649536133,0.0010000000474974513,0.1025976613163948,0.9265734553337097,0.16488607227802277
8,0.9502487778663635,0.0010000000474974513,0.09216532111167908,0.9178321957588196,0.18107523024082184
9,0.9520816802978516,0.0010000000474974513,0.09461408108472824,0.9195803999900818,0.1576072871685028
10,0.9586279392242432,0.0010000000474974513,0.08115849643945694,0.9265734553337097,0.17487862706184387
11,0.9581041932106018,0.0010000000474974513,0.08378633111715317,0.9300699234008789,0.16772370040416718
12,0.9643886089324951,0.0010000000474974513,0.0729990005493164,0.940559446811676,0.16687870025634766
13,0.96517413854599,0.0005000000237487257,0.07260680943727493,0.9335664510726929,0.14288170635700226
14,0.9732914566993713,0.0005000000237487257,0.05648413673043251,0.9230769276618958,0.165940061211586
15,0.9746006727218628,0.0005000000237487257,0.05513078719377518,0.9213286638259888,0.176926851272583
16,0.9746006727218628,0.0005000000237487257,0.049585066735744476,0.9370629191398621,0.14754264056682587
17,0.9837653636932373,0.0002500000118743628,0.0388752818107605,0.9370629191398621,0.15089905261993408
18,0.9850746393203735,0.0002500000118743628,0.033110570162534714,0.9283216595649719,0.15084128081798553
19,0.9829798340797424,0.0002500000118743628,0.03385348245501518,0.9265734553337097,0.15070292353630066
