stage,stage_epoch,duration_seconds,learning_rate,accuracy,loss,val_accuracy,val_loss
stage_1,1,117.53664740000386,0.0010000000474974513,0.7907829284667969,0.4533355236053467,0.8933566212654114,0.2502668797969818
stage_1,2,112.99205710005481,0.0010000000474974513,0.8834773302078247,0.23598946630954742,0.8968531489372253,0.22747009992599487
stage_1,3,119.86006480001379,0.0010000000474974513,0.9020686149597168,0.18425151705741882,0.9178321957588196,0.19518356025218964
stage_1,4,150.9327764000045,0.0010000000474974513,0.9128044247627258,0.16691190004348755,0.9283216595649719,0.17693543434143066
stage_1,5,116.70638989994768,0.0010000000474974513,0.9313956499099731,0.14116279780864716,0.9090909361839294,0.19526728987693787
stage_1,6,121.83178570005111,0.0010000000474974513,0.9337522983551025,0.12620209157466888,0.9265734553337097,0.18261836469173431
stage_1,7,123.15732030000072,0.0010000000474974513,0.9337522983551025,0.13181164860725403,0.9318181872367859,0.1769884079694748
stage_1,8,119.0987789001083,0.0005000000237487257,0.9489395022392273,0.10050991922616959,0.9318181872367859,0.1503657102584839
stage_1,9,112.20214720000513,0.0005000000237487257,0.9578423500061035,0.07759838551282883,0.9300699234008789,0.14658083021640778
stage_1,10,113.56739580002613,0.0005000000237487257,0.9596753120422363,0.07504063099622726,0.9283216595649719,0.15394055843353271
stage_1,11,101.67273539991584,0.0005000000237487257,0.9654359817504883,0.07060011476278305,0.9318181872367859,0.14595963060855865
stage_1,12,102.36988799995743,0.0005000000237487257,0.9667451977729797,0.06748777627944946,0.9300699234008789,0.15995141863822937
stage_1,13,101.88072789995931,0.0005000000237487257,0.9719821810722351,0.05564236268401146,0.9318181872367859,0.15097874402999878
stage_1,14,103.55489380005747,0.0005000000237487257,0.9620319604873657,0.07568962872028351,0.940559446811676,0.13375627994537354
stage_1,15,104.50282349996269,0.0005000000237487257,0.9714584946632385,0.06096045672893524,0.9283216595649719,0.17709466814994812
stage_1,16,102.34696110000368,0.0005000000237487257,0.9735532999038696,0.05707269906997681,0.9265734553337097,0.15966437757015228
stage_1,17,98.30117180000525,0.0005000000237487257,0.9709348082542419,0.05523208901286125,0.9283216595649719,0.1447879523038864
stage_1,18,97.47212570009287,0.0002500000118743628,0.9766954779624939,0.048107996582984924,0.9318181872367859,0.14683814346790314
stage_1,19,96.24220670002978,0.0002500000118743628,0.9827179908752441,0.03881549835205078,0.9318181872367859,0.1462487131357193
stage_1,20,98.72047949989792,0.0002500000118743628,0.9837653636932373,0.03967602178454399,0.9300699234008789,0.1431017816066742
fine_tuning,1,130.7987354999641,9.999999747378752e-06,0.9719821810722351,0.05145516246557236,0.9353147149085999,0.1341019570827484
fine_tuning,2,116.17419979989063,9.999999747378752e-06,0.9793139696121216,0.04483439400792122,0.9370629191398621,0.1341092735528946
fine_tuning,3,115.32122120005079,9.999999747378752e-06,0.9790521264076233,0.04497496783733368,0.9370629191398621,0.1354617476463318
fine_tuning,4,114.37522449996322,9.999999747378752e-06,0.983503520488739,0.037918973714113235,0.9370629191398621,0.13435064256191254
fine_tuning,5,114.21224680007435,4.999999873689376e-06,0.9800994992256165,0.04006452113389969,0.9353147149085999,0.13422127068042755
fine_tuning,6,116.86480100010522,4.999999873689376e-06,0.9827179908752441,0.033383097499608994,0.938811182975769,0.1335834413766861
fine_tuning,7,116.02036239998415,4.999999873689376e-06,0.9832416772842407,0.03233478590846062,0.9370629191398621,0.13335373997688293
fine_tuning,8,115.15821149991825,4.999999873689376e-06,0.984550952911377,0.03517645224928856,0.9335664510726929,0.13570180535316467
fine_tuning,9,114.48871109995525,4.999999873689376e-06,0.984550952911377,0.031236382201313972,0.9353147149085999,0.1344875693321228
fine_tuning,10,115.36920189997181,4.999999873689376e-06,0.9874312877655029,0.030874358490109444,0.938811182975769,0.1354977786540985
fine_tuning,11,116.05736259999685,2.499999936844688e-06,0.9884786605834961,0.029835762456059456,0.9370629191398621,0.13494448363780975
fine_tuning,12,115.17023119993974,2.499999936844688e-06,0.9871694445610046,0.028834547847509384,0.9370629191398621,0.13460049033164978
fine_tuning,13,113.86370980006177,2.499999936844688e-06,0.9866456985473633,0.02783968672156334,0.9370629191398621,0.13475631177425385
