epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9719821810722351,9.999999747378752e-06,0.05145516246557236,0.9353147149085999,0.1341019570827484
1,0.9793139696121216,9.999999747378752e-06,0.04483439400792122,0.9370629191398621,0.1341092735528946
2,0.9790521264076233,9.999999747378752e-06,0.04497496783733368,0.9370629191398621,0.1354617476463318
3,0.983503520488739,9.999999747378752e-06,0.037918973714113235,0.9370629191398621,0.13435064256191254
4,0.9800994992256165,4.999999873689376e-06,0.04006452113389969,0.9353147149085999,0.13422127068042755
5,0.9827179908752441,4.999999873689376e-06,0.033383097499608994,0.938811182975769,0.1335834413766861
6,0.9832416772842407,4.999999873689376e-06,0.03233478590846062,0.9370629191398621,0.13335373997688293
7,0.984550952911377,4.999999873689376e-06,0.03517645224928856,0.9335664510726929,0.13570180535316467
8,0.984550952911377,4.999999873689376e-06,0.031236382201313972,0.9353147149085999,0.1344875693321228
9,0.9874312877655029,4.999999873689376e-06,0.030874358490109444,0.938811182975769,0.1354977786540985
10,0.9884786605834961,2.499999936844688e-06,0.029835762456059456,0.9370629191398621,0.13494448363780975
11,0.9871694445610046,2.499999936844688e-06,0.028834547847509384,0.9370629191398621,0.13460049033164978
12,0.9866456985473633,2.499999936844688e-06,0.02783968672156334,0.9370629191398621,0.13475631177425385
