epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7907829284667969,0.0010000000474974513,0.4533355236053467,0.8933566212654114,0.2502668797969818
1,0.8834773302078247,0.0010000000474974513,0.23598946630954742,0.8968531489372253,0.22747009992599487
2,0.9020686149597168,0.0010000000474974513,0.18425151705741882,0.9178321957588196,0.19518356025218964
3,0.9128044247627258,0.0010000000474974513,0.16691190004348755,0.9283216595649719,0.17693543434143066
4,0.9313956499099731,0.0010000000474974513,0.14116279780864716,0.9090909361839294,0.19526728987693787
5,0.9337522983551025,0.0010000000474974513,0.12620209157466888,0.9265734553337097,0.18261836469173431
6,0.9337522983551025,0.0010000000474974513,0.13181164860725403,0.9318181872367859,0.1769884079694748
7,0.9489395022392273,0.0005000000237487257,0.10050991922616959,0.9318181872367859,0.1503657102584839
8,0.9578423500061035,0.0005000000237487257,0.07759838551282883,0.9300699234008789,0.14658083021640778
9,0.9596753120422363,0.0005000000237487257,0.07504063099622726,0.9283216595649719,0.15394055843353271
10,0.9654359817504883,0.0005000000237487257,0.07060011476278305,0.9318181872367859,0.14595963060855865
11,0.9667451977729797,0.0005000000237487257,0.06748777627944946,0.9300699234008789,0.15995141863822937
12,0.9719821810722351,0.0005000000237487257,0.05564236268401146,0.9318181872367859,0.15097874402999878
13,0.9620319604873657,0.0005000000237487257,0.07568962872028351,0.940559446811676,0.13375627994537354
14,0.9714584946632385,0.0005000000237487257,0.06096045672893524,0.9283216595649719,0.17709466814994812
15,0.9735532999038696,0.0005000000237487257,0.05707269906997681,0.9265734553337097,0.15966437757015228
16,0.9709348082542419,0.0005000000237487257,0.05523208901286125,0.9283216595649719,0.1447879523038864
17,0.9766954779624939,0.0002500000118743628,0.048107996582984924,0.9318181872367859,0.14683814346790314
18,0.9827179908752441,0.0002500000118743628,0.03881549835205078,0.9318181872367859,0.1462487131357193
19,0.9837653636932373,0.0002500000118743628,0.03967602178454399,0.9300699234008789,0.1431017816066742
