class,precision,recall,f1,support
Cow,0.975,1.0,0.9873417721518988,39
Deer,0.958904109589041,0.9722222222222222,0.9655172413793104,72
Elephant,0.975,0.9873417721518988,0.9811320754716981,79
Monkey,1.0,1.0,1.0,28
Non_Venomous_Snake,0.9076923076923077,0.921875,0.9147286821705426,128
Venomous_Snake,0.927007299270073,0.900709219858156,0.9136690647482014,141
Wild_Boar,0.9824561403508771,0.9655172413793104,0.9739130434782609,58
