representation,file_size_bytes,file_size_mib,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,venomous_snake_recall,non_venomous_snake_recall,snake_macro_recall,snake_macro_f1,average_inference_time_ms,median_inference_time_ms,approximate_fps,latency_runtime_note
Keras,32418673,30.916855812072754,0.9541284403669725,0.9688672743760461,0.9686971396837043,0.9687245232484056,0.9540628864020689,0.9290780141843972,0.9140625,0.9215702570921986,0.9237181985191782,206.24963499838486,177.78319999342784,4.848493428886946,Different Keras runtime benchmark methodology; not directly equivalent.
Float32 TFLite,12920548,12.32199478149414,0.9541284403669725,0.9688672743760461,0.9686971396837043,0.9687245232484056,0.9540628864020689,0.9290780141843972,0.9140625,0.9215702570921986,0.9237181985191782,6.73643699643435,6.665699984296225,148.446426579705,"TFLite, XNNPACK, 1 thread, batch 1, model-only."
Float16 TFLite,6549452,6.246044158935547,0.9541284403669725,0.9688672743760461,0.9686971396837043,0.9687245232484056,0.9540628864020689,0.9290780141843972,0.9140625,0.9215702570921986,0.9237181985191782,7.656459999852814,7.502749998820946,130.60866249144172,"TFLite, XNNPACK, 1 thread, batch 1, model-only."
