class,precision,recall,f1,support
Cow,1.0,1.0,1.0,39
Deer,0.9722222222222222,0.9722222222222222,0.9722222222222222,72
Elephant,0.9753086419753086,1.0,0.9875,79
Monkey,1.0,1.0,1.0,28
Non_Venomous_Snake,0.936,0.9140625,0.924901185770751,128
Venomous_Snake,0.916083916083916,0.9290780141843972,0.9225352112676056,141
Wild_Boar,0.9824561403508771,0.9655172413793104,0.9739130434782609,58
